text,CEFR
"Meier Müller Friedrich BahnhofsstraÃe 1 Stadt X Tel 9 Computer-Spezialist OdenwaldstraÃe 5 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant , durch Ihr enzeige von bin ich seh aufmerksam geworden. Ihr Unternehmen ist mir innovativ und international bekannt. In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student, deshalb bewerb ich mich heute bei Ihnen inder Zeit von bis . Durch meie Schulzeit ich habe gröÃe erfahrung mit dem EDV wie Word, Exel, etc und behersche ich 10 Finger System. Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von bis davon viele erfahrung gebrach. Eben so wie meine Sprach kentnesse Arabisch, Englisch und Russisch verteit Als intrnational tätig. Auser dem bin ich flexibel und engagiert. Auch Wochenenddienste und wechselende Arbeitzeit Selbsverstänlich. Ãber Einladung zu Gesprach termin freu mich seh.",B1
"Stadt X, den Maria Meier Zentralplatz 12 Stadt Y 6789 Computer-Spezialist Odenwaldstr 5 Bonn Bewerbung um ein Praktikum auf der Suche nach einem lehrreichen und ansprusvollen Arbeitsumfeld bin ich auf ihr Unternemen aufmerksam geworden Darum bewerbe ich mich hiermit um ein Praktikum von bis in der Abteilung elektronische Datenverarbeitung besonders bin ich an einer Tatigkeit in Bereich elektronika interessirt. Das Praktikum ist Bestandteil meines Studiums, das ich eiginständig und verantwortungsvoll gestalten möchte. Mein theoretisches Fachwisen und Kompetenzen würden meiner Arbeit bei Ihnen zu gute kommen. Sehr gerne würde ich mich bei Ihnen personlich vorstelen und freue mich, wen Sie Zeit für ein Gespräch finden. Mit freundlichen GrüÃen Maria Meier Anlagen Zeugnis",B2
"Maria Müller Stadt X, Zentralplatz 12 Stadt X Mobil: 4567 Computer-Spezialist OdenwaldstraÃe 5 Bonn Bewerbung um Praktikumsplatz als IT-Systemkauffrau , hiermit möchte ich mich um einen Praktikumsplatz bei Ihnen bewerben. Ihr Unternehmen hat in mir echtes Interesse und auch groÃe Neugier hervorgerufen. Zurzeit absolviere ich Abitur, vorher habe ich Hauptschule abschluss gemacht mit der Gesamtnote 1,6. Aufgrund meiner bisher durchgefuhrtene Praktika (siehe Lebenslauf) verfüge ich beriet über viel Erfahrung im Wirtschaftshandelbereich und einige Erfahrungen im Einzelhandelbereich. Ich sehe eine Herausforderung, bei der ich mich engagieren kann und der ich mich gewachsen fühle. Ihr Unternehmen arbeitet mit verschiedenen Unternehmen aus der ganzen Welt, so könnte ich meine Englisch-, Russisch und Deutschkenntnisse anwenden und perfektionieren. Mit mir finden Sie eine zuverlässige Praktikantin, eine Teamplayerin, die dennoch Position entsprechend diskret und loyal ist. Darüber hinaus hoffe ich meine bisher erworbene Kenntnisse während eines Praktikums einbringen zu können. Ich möchte gerne diese Praktika ab sofort anfangen. Ãber die Einladung zu einem persönlichen Gespräch würde ich mich sehr freuen. Mit freundlichen GrüÃen Maria Müller Anlagen: Lebenslauf Zeugnisse in Kopie",B2
"Eva Winkelmann BahnhofsstraÃe 12 Stadt X Tel. Computer-Spezialist OdenwaldstraÃe 5 Bonn Stadt X, den Praktikantenstelle im Bereich It-Systemkauffrau , ich möchte mich bei Ihnen um einen Praktikumsplatzt bewerben. Nach meiner Ausbildung als Bureau Kauffrau lerne ich Deutsch in der VHS Stadt X. Ich beherrsche Französisch und Englisch schriftlich und mundlich und bin ich ganz sicher, nachdem ich ein Praktikum bei Ihnen absolviert, werde ich auch Deutsche Sprache in meinem Beruf zählen. Ich würde mich freuen wenn es eine Möglichkeit gäbe dieses Praktikum bei Ihnen zu machen Ich bin flexibel und arbeite sehr gern im Team sowie auch selbständig. Ãber eine Einladung für das Gespräch werde ich mich sehr freuen. Mit freundlichen GrüÃen Eva Winkelmann Anlagen: -Zeugnis -Lebenslauf",B2
"Eva Winkelmann Stadt X, . BahnhofsstraÃe 1a Stadt X Computer-Spezialist ObenwaldstraÃe 5, Bonn Bewerbung um Praktikantenstelle als Sistemkauffrau , mit Interesse habe ich Ihre Anzeige im Internet gelesen und bewerbe mich um ausgeschriebene Stelle der IT-Systemkauffrau in Ihren Unternehmen. Ich bin ausgebildete Systemkauffrau und war zunächst in meinem Ausbildungsbetrieb als Assistentin im neueröffnete Firma angestellt. Meine Arbeitweise und Aufmerksamkeit aus Ich bin kommunikationstarker und Flexible Mensch, Loyalität, Diskretion kennzeichen. Ãber eine Einladung zum persönliche Gespräch freu mich ganz besonderes Mit freundlichen GrüÃen Eva Winkelmann",B1
"Sehr geehrter Damen und Herren, Ich habe Ihnen Anzeige über die Vertriebspraktikum gesucht gelesen. Ich bin Architekturstudenten und auf diesemn Grund interessiere mich viel dieses Praktikum. Ich meine, dass für mich eine wunderware Erfahrung wäre, wenn ich an dieser Firma teilnehmen könnte. Ich kann alle Sachen was Sie möchten machen. Ich bin in dem letzten Semester von meiner Karriere und ich hatte die beste Qualifikation was ich kann. Ich kann auch sofort beginnen. Auf jeden fall möchte ich nur wissen, wie viele Geld verdiene ich und wie viele Stunden müsste ich pro Woche arbeiten. Ich hoffe, dass Sie mit mir möchten arbeiten werden. Ich glaube, dass ich viele positive Sachen und guten Erfahrungen lernen kann. Vielen danke Mit freundlichen GrüÃen, Michael Winkelmann",B2
"Stefan Meier Zentralplatz 12 , Stadt X. Computer-Spezialist odenwaldstraÃe 5, Bonn. Stadt X den, 12,. Betreffzeile: Bewerbung um eine Ausbildung als IT-Systemkaufmann. , hier bewerbe ich mich um eine spätere Ausbildung zum IT-Systemkaufmann. Zur Zeit bereite ich Bachelor-Exam in Informatik in Fachhochschule Stadt Y vor. Ãbrigens erfahrung, habe ich schon bei SIEMENS in Stadt X ein praktikum von ein monat gemacht, deshalb, hatte ich möglichkeit für meine Kenntnisse zu beherschen: Leistungsbereitschaft und Kommunikationsfähigkeit. Mein ziel ist Kundenkontakt zu beherschen. Ab september 2010, kann ich bei Ihnen anfange. (Vollzeit). Für eine Vorstellungsgespräach, würde ich seh erfreut.",B1
"Maria Müller BahnhofsstraÃe 12 Stadt X Stadt X, den 12 März, 2010 Computer-Spezialist OdenwaldstraÃe 5 Bonn , im Folgenden sende ich Ihnen die gewünscht Begrundung für meine Bewerbung. Für mich als Informatik-Studentin sind Deutschkenntnisse sehr wichtig. Heutzutage studiere ich an der Stadt X Ãkonomie Hochschule und muss über riechen Wortschatz über IT-System verfügen. Im Studium lese ich oft deutsche Wirtschaftstexte, deshalb möchte ich meine Deutschkenntnisse verbreiten. Ich interessiere mich für die Datenverarbeitung. Ich möchte auch Kontakte mit Kunden knüpfen, um viele Leute kennen zu lernen. Ich mag auch in Teamwork arbeiten. In Ihrer Firma möchte ich meine Fähigkeit trainieren, um in der Zukunft in der Computerbranche tätig zu werden. Diese Praktikum möchte ich am Anfang des Aprils, beginnen und Stunden pro Woche arbeiten. Wegen meiner beruflichen Zukunft möchte ich dieses Praktikum in Deutschland machen. Ich hoffe, diese Informationen sind ausreichend für sie. Falls erforderlich sende ich Ihnen gerne weitere Informationen zu. Mit freundlichen GrüÃen Maria Müller",B2
"Julia Schmidt Zentralplatz 12 Stadt X Computer-Spezialist OdenwaldstraÃe 5 Bonn Bewerbung um ein Praktikum , ich heiÃe Julia und ich studiere Informatik auf die Universität in Stadt X. Um meine Studium abzuschlieÃen und mein zukünftigen Beruf besser kennen zu lernen weil ich bei Ihren Geschäft als Praktikantin arbeiten. Ich habe mich schön immer für Informatik interessiert. Als ich klein war habe ich immer mit dem Computer gespielt. Jetzt will ich ein erforgleicher IT-Systemkauffrau werden und deswegen will ich diesen Praktikum machen, um mehr Erfahrung zu haben um mein Träum zu erfühlen. Von diesem Praktikum erwarte ich viel über Verkaufs Metoden zu lernen und über die elektronischer Datenverarbeitung zu erfahren. Ich bin bereit schon mit der Arbeit anzufangen aber habe ich noch ein paar fragen über der Arbeits Stunden und Arbeitszeit. Wie viel Stunden pro Tag muss man arbeiten? Meine Arbeitszeiten sind. flexibel und ich will nur fragen wann kann ich beginnen? Ich warte auf Ihren antwort Mit freundlichen GrüÃen, Julia Schmidt",B2
"Friedrich Meier Stadt X 111 Deutschland An: COMPUTER-SPEZIALIST OdenwaldstraÃe 5 Sehr geehrte Damen u. Herren, Ich habe mich mit ihrer Anzeige in XXX bekanntgemacht und würde mich gerne für die Vertriebspraktikant Stelle bewerben. Ich habe schon die passende Vorkenntnisse in Informatik und würde diese gerne durch eine entsprechende Ausbildung zum IT Systemkaufmann ausbauen. Im Gegensatz würde ich gerne folgende persönliche Eigenschaften anbieten: Leistungsbereitschaft und natürliche (nicht gezwungene) Kommunikationsfähigkeiten. Als ich ledig bin, bleibe ich nicht begrenzt in Sachen Flexibilität und Mobilität. Ich hoffe das Praktikum wird bestes Wissen über die modernste IT Systeme gewährleisten und wird mir erlauben Systemkaufmannskenntnisse in 2 Jahre erwerben. Was betrift Details - Ich kann schon am kommenden Montag beginnen. Ich bitte um Berücksichtigung daÃ als minderjährige dürfte ich nicht länger als 6 Stunden pro Tag arbeiten (was entspricht 30 Stunden pro Woche). Es wäre von gröÃerer Bedeutung für mich wenn meine Bewerbung könnte positiv betrachtet werden mfg",B2
"Michael Müller BahnhofsstraÃe 1 Stadt X Stadt X, 17. Juni 2005 ComputerGesellschaft OdenwaldstraÃe 5 Bonn Bewerbung um den Praktikumsplatz , von Ihrer Anzeige, die in der ITZeitschrift veröffentlicht wurde, habe ich erfaren, dass Sie den Studenten der Informatikrichtung eine Möglichkeit geben ein Praktikum in Ihrer Firma zu absolvieren. Zurzeit studiere ich am vierten Studienjahr Informatik an dem Technischen Universität in Stadt X. Ich werde über Datenverarbeitung promoviert. Wegen meiner Ausbildung aber auch wegen meiner persönlichen Eigenschaften (ich bin kommunikativ, ehrgeizig, teamfähig und flexible) glaube ich allen Ihren Anforderungen zu entsprechen. Ich möchte mich bei Ihrer Firma weiterentwickeln Ich könnte mit dem Praktikum ab sofort anfangen. Ich könnte mindestens 4 Stunden pro Tag arbeiten. Es wäre schön, wenn Sie mir eine Gelegenheit gäben mit Ihnen persönlich zu sprechen. Mit freundlichen GrüÃen Michael Müller Anlagen: Lebenslauf mit dem Lichtbild 2 Zeugnissen Englisch Zertifikat - FCE",B2
"Maria Schmidt Addresse Computer Spezialist OdenwaldstraÃe 5. Bonn Stadt X, Betr.: Bewerbung um ein Praktikum als IT-System Kauffrau. , im MontagÂ´s Morgen Post, habe ich Ihre Anziege für Vertriebspraktikant gelesen. Ich bewerbe mich dafür zum einen praktikumsplatz bei Ihren Firma, als IT-Systemkauffrau. Nach die Schule, habe ich Kommunikationswissenschaft am der Deutsche Universität studiert. Ich habe auch Informatik studiert als mein Nebenfach. Englisch und Spanisch beherrsche ich in Wort und Schrift. Ich habe auch gut Kenntniss im Deutsch und Franzözich. Meine Kompetenz mit verschiedene Sprache kön ich gut benutzen mit Ihren international Kunden. Ich arbeite gern in Team, weil die Zusammenarbeit macht mir viel spaÃ. Bei der Uni war ich Präsident der Informatik-Club, und habt viele Projecte gefuhrt. Ich kann auch gut selb-standig arbeiten, und habe viel Websites selbst-aufgebaut. Es war schön immer meine groÃer Wunsche in einer berühmte deutsche Firma als Prakikantin tätig zu sein. Ich wollte auch mein deutsch verbessern und prakticher Erpharung mit die deutsche Culture sammeln. Ich kann am anfang Juli einer Praktikum antretten. Ich freue mich um Ihrer Angebot und die Moglichkeit für ein Vorstellungsgespräch. Mit freundlichen GruÃen Maria Schmidt Anlage: Lebenslauf Zeugnisse",B1
"Winkelmann Katharina Müllergasse 12 Stadt X Computer-Spezialist OdenwaldstraÃe 5 Bohn Stadt X Bewerbungs um eine Praktikumsplatz als Kauffrau. , mit groÃe interesse habe ich in der ""Berliner Morgenpost gelesen, dass Sie eine Helferin suchen. Ich bin 31 Jahre alt und habe 2 Kinder. Nach erfolgreichen Abschluss meiner Ausbildung als Kauffrau muss ich ein Monat Praktikum machen. Als Kauffrau habe ich nicht gearbeitet. Durch meine bisherige Tätigkeiten bin ich leistungsorientiertes und selbständiges Arbeit gewöhnt. Ich habe festgestellt, dass die Arbeit im Geschäft mir SpaÃ macht. Ich bin hilfsbereit, sehr gründlich und sorgfältig. Ich möchte gern mehr über ihre Firma erfahren. Ãber eine Einladung zu einem persönlichen Gespräch würde ich mich sehr freuen. Mit freundlichen GrüÃen Katharina Winkelmann",B2
"Meier Katharina Müllergasse 12 Stadt X Computer-Spezialist OdenwaldstraÃe 5, Bonn Stadt X den Bewerbung als Vertriebspraktikantin , ich habe Ihre Anzeige mit groÃerm Interesse im Zeitschrift gelesen. Ich studiere jetz Betriebswirtschaft im Humbold Universität. Ich bewerbe mich um eine Praktikumsplatz Ich möchte meine Praktikum als Systemkauffrau machen. Ich bin flexibel, freundlich, teamfähig und selbsbewust. Ich bin Turkin. Als ich in Turkey war, habe ich elf Jahre als Lehrerin gearbeitet. Deswegen habe ich good Kontakte mit Leute. Ich bin auch geduldig. Meine Mutter Sprache ist Turkisch. Aber Ich spreche auch FlieÃend Arabisch. Ich kann auch wortlich Englisch sprechen. Wenn ich bei Ihre Firma arbeiten kann, kann ich meine Arbeit verbessern. Ich möchte auch in diese Arbeit noch mehr Erfahrung haben. Ich möchte bei Ihnen ab 1. Juni anfangen. Wenn es möglich. Meine Praktikum ist dauert 3 Monate. Ich schicke Meine Kentnisse mit. Ich freue mich, Wenn ich mit Ihnen arbeiten kann. Ãber eine positive Antwort von Ihnen würde ich mich sehr freuen Mit Freundlichen GrüÃen Katharina Meier",B1
"Eva Müller Stadt X BahnhofsstraÃe 12 Stadt X T. 0 Computer-Spezialist OdenwaldstraÃe 5, Bonn Bewerbung um eine Praktikumstelle , zurzeit neme ich an dem Kurs âQualifizierung von Computer und Informatik teil. Mit groÃe Interesse habe ich in der ""Berliner Morgenpost"" gelesen das Sie eine Praktikantin suchen. Ich bin 38 Jahre alt und habe langjehrige Berufserfahrung in Russland. Anfand 2002 bin ich mit meine Tochter nach Deutschland umgesiedilt. Durch meine Tätichkeiten als Informatikerin in Russland konnte ich meine Erfarungen erweitern. In Deutschland habe ich ein Praktikum im Zeitraum vom bis gemacht. Ich habe festgestelt, das ich mein Traum Beruf ist. Ich bin sehr grunglich: zuferlesig und puntlich. Ich stehe -unreadable- ab sofort zur Verfügung. Ich könnte bereits im März bei Ihnen beginnen. Ich würde mich sehr freuen, -unreadable- Sie mich zu einem Vorstellungsgesprech, würde -unreadable- sehr Freuen Mit freundlichen GrüÃen Eva Müller",B2
"Friedrich Schmidt Müllergasse 12 Stadt X Stadt X, Computer-Spezialist OdenwaldstraÃe 5 Bonn Bewerbung um einen Praktikumsplatz, , durch Ihre Anzeige habe ich erfahren, dass Sie einen Praktikumsplatz in Ihrem Firma anbieten. Es hat meinen Wunsch und meine Motivation noch bestärkt eine Praktikum zur IT Systemkaufmann zu beginnen. An diesem Beruf reizen mich das vielfälltige Anforderungsprofil und der dirrekte Kontakt mit den teilweise verschiedenen Kunden. Da Ihr Firma für Freundlichkeit und Service auf höchste Niveau bekannt ist, bewerbe ich mich bei Ihnen. Nach der Schule habe ich in meiner Heimat, aber der Medizinischen Universität, Medizintechnischer Laborant (MTA) studiert und ich war drei Jahr in einem Labor tätig. Meine Stärken sind Organisationstalent, Einsatzbereitschaft und Zuverlässigkeit sowie Korrekte Umgangsformen und ein freundliches Auftreten. Ich setze mir selbständig Ziele und habe klare Vorstellungen über meine berüflich Zukunft. Ãber eine Einladung zu einem Vorstellungsgespräch würde ich mich sehr freuen, damit Sie sich einen Eindruck von mir machen können. Ich könnte Ihnen gerne ab sofort zuverfügung stehen.",C1
